"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
7.38569837086219e-25,0.46075438294027,0.991,0.935,1.64856173336015e-20,"8","EIF1"
1.18946750359346e-24,0.969193052575565,0.576,0.316,2.65501041477096e-20,"8","LYSMD2"
1.36220325073786e-24,1.37628214865163,0.364,0.153,3.04057387597199e-20,"8","CMPK2"
1.62977449198372e-24,0.513834089436365,0.975,0.849,3.63781964355687e-20,"8","ARPC3"
2.0831150654784e-24,0.582091822769826,0.927,0.743,4.64972113765434e-20,"8","TPM3"
2.18298941139077e-24,0.834757875966981,0.538,0.272,4.87265066516534e-20,"8","JAK2"
2.43793074795645e-24,0.881183219639952,0.554,0.291,5.4417052225136e-20,"8","OAS3"
2.77551180334768e-24,0.482846456568571,0.975,0.901,6.19521989625235e-20,"8","CYBA"
3.46385158770449e-24,0.66059238728108,0.873,0.615,7.7316631289152e-20,"8","PYCARD"
4.16659404482654e-24,1.47513294684996,0.44,0.213,9.30025456745732e-20,"8","RNF19B"
4.53001415092924e-24,0.679290949811612,0.962,0.872,1.01114445862892e-19,"8","NACA"
5.6095330759679e-24,1.07736418945113,0.519,0.262,1.2521038778868e-19,"8","LRRK2"
7.29722899244676e-24,1.54602424410484,0.367,0.158,1.62881448340404e-19,"8","APOL3"
7.5788229474444e-24,0.62376576736848,0.842,0.561,1.69166907009906e-19,"8","EIF3K"
9.22518056048377e-24,0.970223742842359,0.592,0.34,2.05915255290558e-19,"8","SUPT4H1"
1.02144142678615e-23,1.20822160918481,0.38,0.168,2.27995940872936e-19,"8","CD300LF"
2.48196926930638e-23,1.01261049272572,0.633,0.388,5.54000360601877e-19,"8","SQOR"
2.52763510198659e-23,0.921689601753078,0.522,0.271,5.64193431114427e-19,"8","APOBEC3G"
3.19301568334672e-23,0.411711656322591,0.386,0.156,7.12713030679821e-19,"8","CD36"
4.14976979227556e-23,1.35513010552796,0.342,0.141,9.26270115333828e-19,"8","SIDT2"
4.16663596532969e-23,1.08832693509757,0.649,0.401,9.30034813821239e-19,"8","UPP1"
4.36757171356713e-23,0.318533930227884,0.997,0.957,9.74885682185319e-19,"8","RPL41"
4.49322521422115e-23,0.878950393313654,0.671,0.407,1.0029328000663e-18,"8","PSMA5"
4.90456585104084e-23,1.06234607744699,0.617,0.368,1.09474814361083e-18,"8","SEPT9"
5.26700777616526e-23,1.51732615901512,0.241,0.081,1.17564880571785e-18,"8","FAM241A"
8.33174623692621e-23,1.10241429029045,0.506,0.274,1.8597290775443e-18,"8","PSMB10"
9.08465455523144e-23,0.343478062285558,0.994,0.903,2.02778574327321e-18,"8","RPL30"
9.11370270222355e-23,0.458621592291147,1,0.857,2.03426958016332e-18,"8","ACTG1"
1.19317084416202e-22,0.889731479619132,0.595,0.347,2.66327664125405e-18,"8","UBE2R2"
1.23337669042032e-22,0.859762665773824,0.797,0.555,2.75302011068719e-18,"8","TKT"
1.2552483674386e-22,0.817910397127712,0.646,0.388,2.80183988095971e-18,"8","TAP1"
1.45669026524514e-22,0.907129945469671,0.573,0.321,3.25147834105368e-18,"8","LSM6"
